,category,tech1,description,fit,title,also_buy,image,tech2,brand,feature,rank,also_view,details,main_cat,similar_item,date,price,asin
10,"['Cell Phones & Accessories', 'Cases, Holsters & Sleeves', 'Basic Cases']",,"['Silver Elegant Butterfly Foot Ankle Chain Summer Beach Bracelet Evil Eye Charm. Length : 25cm/10""']",,Silver Elegant Butterfly Foot Ankle Chain Summer Beach Bracelet Evil Eye Charm,[],"['https://images-na.ssl-images-amazon.com/images/I/314kPDoWM5L._SS40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41dbHM%2BirbL._SS40_.jpg']",,Accessory,"['Item is Brand New', 'See Description for Details', 'We ship as fast as we can but please allow 7-14 days delivery']","['>#1,978,999 in Tools & Home Improvement (See top 100)', '>#937,506 in Electronics > Cell Phones & Accessories > Cases, Holsters & Clips > Basic Cases']",[],{},Tools & Home Improvement,,"September 22, 2014",,7391002801
11,"['Cell Phones & Accessories', 'Cases, Holsters & Sleeves']",,['Iphone case X 1'],,Sole Trader at New Apple Iphone 4/4s Protective Hard Metal Case Swarovski Diamond Skin Cover in Wine Red,[],"['https://images-na.ssl-images-amazon.com/images/I/41nCu-nutwL._SX38_SY50_CR,0,0,38,50_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/417%2Bhm3YMfL._SX38_SY50_CR,0,0,38,50_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41NolCBUanL._SX38_SY50_CR,0,0,38,50_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41nC5IjrW%2BL._SX38_SY50_CR,0,0,38,50_.jpg']",,Sole Trader,"['Fit for iphone 4 or 4s', 'Hard Case to shelter your iPhone dust, shock, scratches and bumps', 'Unique and special style, different with the other one']","['>#2,162,555 in Cell Phones & Accessories (See Top 100 in Cell Phones & Accessories)', '>#1,213,095 in Cell Phones & Accessories > Cases, Holsters & Clips']",[],{},Cell Phones & Accessories,,,,7506350564
12,[],,"['This watch phone is a quad band GSM (850MHz, 900MHz, 1800MHz, 1900MHz) unlocked phone. Stick in two SIM cards and you gain instant access to an amazing communication device that works like a cell phone on your wrist. This watch phone is a full multimedia center that features a camera, video player /recorder, and audio player/recorder. Easily capture photos, video, and audio - all with just the click of a button.This thrifty watch phone also includes a clear and accurate 1.4 inch touch screen LCD display that allows for easy menu navigation and quick dialing without even having to use the included stylus, just use your fingers!']",,VIP Watch Cell Phone Mobile Dual Sim Dual Standby 1GB internal Memory Cam Black Ring,[],"['https://images-na.ssl-images-amazon.com/images/I/61icEusc3vL._SX38_SY50_CR,0,0,38,50_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41Ls1SZmEXL._SX38_SY50_CR,0,0,38,50_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/419DzbD92OL._SX38_SY50_CR,0,0,38,50_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41RGlAPLHJL._SX38_SY50_CR,0,0,38,50_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41kImPMh8yL._SX38_SY50_CR,0,0,38,50_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41npGudnyYL._SX38_SY50_CR,0,0,38,50_.jpg']",,VIP-Top Sales Watch Phone,"['Watch, cell phone, MP3 player, video camera, media player, and PDA all in one', 'Quad band (850MHz, 900MHz, 1800MHz, 1900MHz) unlocked watch phone', 'Dual SIM and Dual Standby', 'Touchscreen', 'SMS and MMS']",[],[],{},Cell Phones & Accessories,,,,7506284774
13,"['Cell Phones & Accessories', 'Cases, Holsters & Sleeves', 'Holsters']",,"['Three layers of protection: Layer 1: Clear Polycarbonate sheet with high performance hard coating that offers chemical and abrasion protection. Layer 2: High-impact polycarbonate skeleton. Layer 3: Premium grade silicone skin to provide added protection against drop, bump and shock. Form-fitting case designed to perfectly fit your device Easy access to all buttons, sensors, and ports Full access to user interface, camera lens, headphone jack, speakerphone and microphone Allows charging without removing the case Compatible with Apple iPhone 4 (16GB or 32GB) Models. This product is exclusively supplied by Smile Case, The pictures were taken by smile case. The products supplied by other sellers might not be the same in the picture.']",,Smile Case Full Protection Case for Iphone 4 black on purple with Belt Clip Holster (black on purple) Same As Otterbox,[],"['https://images-na.ssl-images-amazon.com/images/I/31Vd-DOv-iL._SX38_SY50_CR,0,0,38,50_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/31GMqMKYUnL._SX38_SY50_CR,0,0,38,50_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/311Led03lXL._SX38_SY50_CR,0,0,38,50_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/31l8H4%2B0tzL._SX38_SY50_CR,0,0,38,50_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41-GP6H3lbL._SX38_SY50_CR,0,0,38,50_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51DkNVWsuNL._SX38_SY50_CR,0,0,38,50_.jpg']",,Same As Otterbox,"['Ratcheting belt clip holster included', 'OEM retail Package included', 'Lightweight, durable material, low-profile construction protect your device from scratches and bumps without adding bulk', 'Anti-slip properties give more grips on surfaces', 'Anti-static silicone material reduces surface dust and makes the case feel softer']","['>#2,214,149 in Cell Phones & Accessories (See Top 100 in Cell Phones & Accessories)', '>#44,478 in Cell Phones & Accessories > Cases, Holsters & Clips > Holsters', '>#867,457 in Cell Phones & Accessories > Cases, Holsters & Clips > Basic Cases']",[],{},Cell Phones & Accessories,,,,7508269438
14,"['Cell Phones & Accessories', 'Cases, Holsters & Sleeves']",,"['', 'Elegani Butterfly Case 3D Pattern Back Cover Case Skin For Apple iPhone 5 5G', 'Ultra light weight case', 'Elegantly designed with 3D cutout effect', 'Super rich rubber coating']",,MinisDesign 3d Bling Crystal Bow Transparent Case for Apple Iphone 4 and 4s-Pink,[],"['https://images-na.ssl-images-amazon.com/images/I/41Wol0yPcxL._SX38_SY50_CR,0,0,38,50_.jpg']",,ELEGANI,"['Fashionable with unique 3D butterfly design for the iPhone 5 from others', 'Precise cut design with access to all ports and features of the iPhone 5', 'Dirt-resistant Butterfly Case for iPhone 5 with 3D PC Cover', 'Design: Simple hard back case, Luxury and classical butterfly', '3D art design. Creative 3D butterfly design']","['>#228,544 in Cell Phones & Accessories (See Top 100 in Cell Phones & Accessories)', '>#114,920 in Cell Phones & Accessories > Cases, Holsters & Clips']",[],{},Cell Phones & Accessories,,,,7508492919
15,"['Cell Phones & Accessories', 'Accessories']",,[],,HTC Sensation 4G TPU Gel Case - Red Circle,[],[],,Asecshop,"['Premium Quality Form Fitted Silicone Design.', 'Protects your device from scratches, scuffs and general wear & tear.', 'Tailored design for Easy Access & Use of All Functions.', 'Ships in the color(s) shown.']","['>#7,334,739 in Cell Phones & Accessories (See Top 100 in Cell Phones & Accessories)', '>#2,389,235 in Cell Phones & Accessories > Cell Phone Accessories', '>#7,330,283 in Electronics > Cell Phones & Accessories']",[],{},Cell Phones & Accessories,,,,751182059X
16,"['Cell Phones & Accessories', 'Cases, Holsters & Sleeves']"," class=""a-keyvalue prodDetTable"" role=""presentation"">
         
           
           
           
           <tr>
            
            
              
              
               
                <th class=""a-color-secondary a-size-base prodDetSectionEntry"">
                  Brand Name
                </th>
                
              
            
            
           
            <td class=""a-size-base"">
              iGlaze
            </td>
            
           </tr>
           
           
           
           <tr>
            
            
              
              
               
                <th class=""a-color-secondary a-size-base prodDetSectionEntry"">
                  Item Weight
                </th>
                
              
            
            
           
            <td class=""a-size-base"">
              1.6 ounces
            </td>
            
           </tr>
           
           
           
           <tr>
            
            
              
              
               
                <th class=""a-color-secondary a-size-base prodDetSectionEntry"">
                  Package Dimensions
                </th>
                
              
            
            
           
            <td class=""a-size-base"">
              5.5 x 4 x 0.6 inches
            </td>
            
           </tr>
           
           
           
           <tr>
            
            
              
              
               
                <th class=""a-color-secondary a-size-base prodDetSectionEntry"">
                  Item model number
                </th>
                
              
            
            
           
            <td class=""a-size-base"">
              panda
            </td>
            
           </tr>
           
           
           
           <tr>
            
            
              
              
               
                <th class=""a-color-secondary a-size-base prodDetSectionEntry"">
                  Number of Items
                </th>
                
              
            
            
           
            <td class=""a-size-base"">
              4
            </td>
            
           </tr>
           
           
          
        ",['This  lovely panda ultra slim fit case provides your iphone 4 with the ultimate protection from scratch and slip resistance.'],,iGlaze Animal Graphic Slim Fit Hard Plastic Case for Apple Iphone 4 -Panda,[],"['https://images-na.ssl-images-amazon.com/images/I/31KbO2AubrL._SS40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/31gvpTehYNL._SS40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/31cv5KPbPiL._SS40_.jpg']",,iGlaze,"['Innovative ultra slim fit design for iphone 4', 'High quality TPU plastic for ultimate protection and virtually unnoticeable weigh increase', 'Coating inside and outside for anti-scratch', 'Quick and easy access to all features']","['>#2,285,649 in Cell Phones & Accessories (See top 100)', '>#1,292,455 in Cell Phones & Accessories > Cases, Holsters & Clips']",[],{},Portable Audio & Accessories,,"June 12, 2011",,751480241X
17,"['Cell Phones & Accessories', 'Cases, Holsters & Sleeves']",,"['Product Description\nHTC EVO 4G, Rubberized Purple Wave Flower and Black Colorful Flower Butterfly Premium Design Snap-On Protector Cases. These Rubberized Cases is the best protector covers for your phone front and back, combining a hard plastic shell with a thin layer of soft rubberized material giving your HTC EVO 4G the ultimate in protection. The smooth surface provides you with a lasting grip on your HTC EVO 4G and exact cutouts allow full access to your phone. It will safeguard your HTC EVO 4G without adding extra bulk. Protecting your new phone has never been this easy!\n\nYour order will be ship in cardboard box to ensure your items arrived safely!\n\nIncluded: 1 Design Cases.']",,Rubberized Purple Wave Flower Snap on Design Case Hard Case Skin Cover Faceplate for Sprint Htc Evo 4g,[],[],,Generic,['Rubberized Purple Wave Flower Snap on Design Case Hard Case Skin Cover Faceplate for Sprint Htc Evo 4g'],"['>#553,803 in Cell Phones & Accessories (See Top 100 in Cell Phones & Accessories)', '>#275,153 in Cell Phones & Accessories > Cases, Holsters & Clips']",[],{},Cell Phones & Accessories,,,,7532385086
18,"['Cell Phones & Accessories', 'Cases, Holsters & Sleeves']",,"['Cookies? Leave this special holiday edition CandyShell case by Speck for Santa instead. Its thin hard shell exterior coating combined with a rubbery interior lining offers a shock-absorbing yet smooth, pocket-friendly (and colorful) protective case for the iPhone 3G. The super cute Santa graphic and green hue with bright red rubbery inside and button covers make it distinctly festive.']",,Speck CandyShell for Iphone 3G/3GS MistleToe Green,[],[],,Speck,"['Fits iPhone 3G & iPhone 3GS', 'Lightweight, flexible one-piece design combines the insulation of a skin with the durability and sleekness of a hard shell', 'Glossy outer hard shell slips in and out of pockets easily and protects from scratches', 'Colorful, contrasting rubberized interior offers extra shock absorption from drops', '# Openings to all ports, controls and sensors # Available in four deliciously sweet and savory color combinations']","['>#1,412,886 in Cell Phones & Accessories (See Top 100 in Cell Phones & Accessories)', '>#749,058 in Cell Phones & Accessories > Cases, Holsters & Clips']",[],{},Cell Phones & Accessories,,,,753844274X
19,"['Cell Phones & Accessories', 'Cases, Holsters & Sleeves', 'Flip Cases']",,[],,Pink Raining Heart Design Rubberized Leather Touch Snap on Hard Cover Protector Faceplate Skin Case for AT&amp;T Samsung Impression A877 + Belt Clip,[],"['https://images-na.ssl-images-amazon.com/images/I/31D%2BYt-JoSL._SX38_SY50_CR,0,0,38,50_.jpg']",,Handheldfashion,[],"['>#7,243,509 in Cell Phones & Accessories (See Top 100 in Cell Phones & Accessories)', '>#191,707 in Cell Phones & Accessories > Cases, Holsters & Clips > Flip Cases']",[],{},Cell Phones & Accessories,,,,7538425780
20,"['Cell Phones & Accessories', 'Cases, Holsters & Sleeves']",,[],,Rubberized Pink Black Leopard Snap on Design Case Hard Case Skin Cover Faceplate for Att Samsung Galaxy S Captivate I897,[],[],,,[],"['>#1,057,386 in Cell Phones & Accessories (See Top 100 in Cell Phones & Accessories)', '>#544,152 in Cell Phones & Accessories > Cases, Holsters & Clips']",[],{},Cell Phones & Accessories,,,,7544224082
21,"['Cell Phones & Accessories', 'Cases, Holsters & Sleeves', 'Basic Cases']",,['This  lovely giraffe ultra slim fit case provides your iphone 4 with the ultimate protection from scratch and slip resistance.'],,Animal Graphic Slim Fit Hard Plastic Case for Apple Iphone 4-Giraffe,[],"['https://images-na.ssl-images-amazon.com/images/I/31sKt3X9FzL._SX38_SY50_CR,0,0,38,50_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/31jl7nwljGL._SX38_SY50_CR,0,0,38,50_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/31ecdvqDV%2BL._SX38_SY50_CR,0,0,38,50_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/311XL%2BP-ChL._SX38_SY50_CR,0,0,38,50_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/31cv5KPbPiL._SX38_SY50_CR,0,0,38,50_.jpg']",,iGlaze,"['Innovative ultra slim fit design for iphone 4', 'High quality ABS plastic for ultimate protection and virtually unnoticeable weigh increase', 'Coating inside and outside for anti-scratch', 'Quick and easy access to all features', 'Anti-fingerprint film, squeegee, and micro-fabric wiping cloth included']","['>#1,853,395 in Cell Phones & Accessories (See Top 100 in Cell Phones & Accessories)', '>#712,463 in Cell Phones & Accessories > Cases, Holsters & Clips > Basic Cases']",[],{},Cell Phones & Accessories,,,,7550001049
22,"['Cell Phones & Accessories', 'Cases, Holsters & Sleeves', 'Basic Cases']",,['color: black case+ golden Peacock\n black case + pink peacock \nblack case + blue peacock\nmaterial: pu\ninnder size: 9.5CM X 19 CM X 3 CM'],,Diamond Rhinestone Peacock Long Wallet Purse Shiny Patent Leather Female Bag,[],[],,Live2Pedal,[],"['>#5,357,792 in Cell Phones & Accessories (See Top 100 in Cell Phones & Accessories)', '>#2,463,671 in Cell Phones & Accessories > Cases, Holsters & Clips > Basic Cases']",[],{},Cell Phones & Accessories,,,,7560608493
23,"['Cell Phones & Accessories', 'Accessories']",,[],,HTC Sensation 4G TPU Gel Case - Hot Pink Circle,[],[],,Asecshop,"['Premium Quality Form Fitted Silicone Design.', 'Protects your device from scratches, scuffs and general wear & tear.', 'Tailored design for Easy Access & Use of All Functions.', 'Ships in the color(s) shown.']","['>#7,170,788 in Cell Phones & Accessories (See Top 100 in Cell Phones & Accessories)', '>#2,330,202 in Cell Phones & Accessories > Cell Phone Accessories', '>#7,166,394 in Electronics > Cell Phones & Accessories']",[],{},Cell Phones & Accessories,,,,7560422837
24,"['Cell Phones & Accessories', 'Cases, Holsters & Sleeves']",,"[""A fresh new design and a brighter bolder color palette this cover is the ultimate fashion accessory\nYour busy schedule and active life can be hard on your iPhone, so protect it with this colorful Kate Spade New York hard shell case. \nThe demands of an active lifestyle often extend to one's accessories, and this hard shell iPhone 4 case by Kate Spade New York handles them with panache. At your side and built to last, this colorful, hard shell iPhone 4 case help keeps you in the loop with a fun and fashionable look.""]",,Kate Spade 3 Layers Case for iphone 4 / 4GS any version,[],"['https://images-na.ssl-images-amazon.com/images/I/31uLcmX%2BATL._SX38_SY50_CR,0,0,38,50_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/31Zsra%2Bs-4L._SX38_SY50_CR,0,0,38,50_.jpg']",,List by smileone Inc,"['Close fit for ultimate protection from dirt, dust, and debris.', 'Fits 16GB and 32GB iPhone 4 models', 'Hard-shell 3 layer for harder protection', 'Total access to all controls +durable design', 'Two-piece snap-together design']","['>#1,985,704 in Cell Phones & Accessories (See Top 100 in Cell Phones & Accessories)', '>#1,100,179 in Cell Phones & Accessories > Cases, Holsters & Clips']",[],{},Cell Phones & Accessories,,,,7561355165
25,"['Cell Phones & Accessories', 'Accessories']",,[],,Full Diamond Pink Black Star Snap on Design Case Hard Case Skim Cover Faceplate for Sprint Htc Evo 4g + Anti-glare Matte Screen Protector Film,[],"['https://images-na.ssl-images-amazon.com/images/I/61e%2BzAAL85L._SX38_SY50_CR,0,0,38,50_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/61e%2BzAAL85L._SX38_SY50_CR,0,0,38,50_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/61e%2BzAAL85L._SX38_SY50_CR,0,0,38,50_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/61e%2BzAAL85L._SX38_SY50_CR,0,0,38,50_.jpg']",,edealsaving,[],"['>#2,206,919 in Cell Phones & Accessories (See Top 100 in Cell Phones & Accessories)', '>#957,411 in Cell Phones & Accessories > Cell Phone Accessories', '>#2,204,441 in Electronics > Cell Phones & Accessories']",[],{},Cell Phones & Accessories,,,,7562015902
26,"['Cell Phones & Accessories', 'Accessories']",,"['SAMSUNG USB DATA CABLE KIT WITH FREE BONUS SOFTWARE AND FEATURES (Software and drivers are included, but are not 100% guaranteed or supported in any way, features vary on each phone, and you may need to purchase/use other software!)']",,Official Replacement Cable Cord for your Sanyo Premium Cell Phone. Style 00A,[],[],,Unknown,"['Charging USB 2.0 (1.1 Compatible) Data Cable. This cable is thicker and has heavier duty shielding than others. (A must when you add the charging feature!)', 'Provides connection to cell phone via computer and vice-versa.', ""Use cable to manage the phone's Ringtones, Pictures, Video, Phonebook Entries, Calendar, Dates, Messaged, & General Files. Also use this cable with ANY other Samsung Brand or third party software!"", '* Bonus CD included contains free bonus drivers and phone management software that works on some of the phones listed here. You may be required to purchase/use other software or drivers.', '* Item is for a cable only with free bonus CD. Please be aware that you may need other software to perform available features. Software and drivers are not guaranteed or supported other than the included help files.']","['>#4,737,938 in Cell Phones & Accessories (See Top 100 in Cell Phones & Accessories)', '>#1,733,566 in Cell Phones & Accessories > Cell Phone Accessories', '>#4,734,269 in Electronics > Cell Phones & Accessories']",[],{},Cell Phones & Accessories,,,,7793917731
27,"['Cell Phones & Accessories', 'Cases, Holsters & Sleeves', 'Basic Cases']",,[],,Rubberized Black Carbon Fiber Snap on Design Case Hard Case Skin Cover Faceplate for Lg Cosmos Vn250 Rumor 2 Rumor2 Lx265,[],"['https://images-na.ssl-images-amazon.com/images/I/41m-HVU7kfL._SX38_SY50_CR,0,0,38,50_.jpg']",,BALAJI,[],"['>#2,212,412 in Cell Phones & Accessories (See Top 100 in Cell Phones & Accessories)', '>#866,708 in Cell Phones & Accessories > Cases, Holsters & Clips > Basic Cases']",[],{},Cell Phones & Accessories,,,,7800694623
28,"['Cell Phones & Accessories', 'Accessories']",,[],,Andersens Fairy Stories (Chinese Edition),[],[],,Cui Zhong Lei,[],"7,676,708 in Books (",[],"{'Paperback:': '199 pages', 'Publisher:': 'Harbin Publishing House (January 10, 2009)', 'Language:': 'Chinese', 'ISBN-10:': '7807538503', 'ISBN-13:': '978-7807538509', '\n    Product Dimensions: \n    ': '6.7 x 7.3 x 0.6 inches', 'Shipping Weight:': '8.2 ounces ('}",Books,,,$3.99,7807538503
29,[],,[],,Blackberry Pearl 8100 Charging USB 2.0 data sync cable 8700 8800 8830,[],[],,Generic,[],[],[],{},Cell Phones & Accessories,,,,7879879862
30,"['Cell Phones & Accessories', 'Accessories', 'Chargers & Power Adapters', 'Car Chargers']",,[],,Official OEM Car Charger for your brand new LG Cellular Mobile Phone. Version 3,[],['https://images-na.ssl-images-amazon.com/images/I/11UR5uFeIXL._SS40_.jpg'],,Generic,[],"['>#7,119,189 in Cell Phones & Accessories (See Top 100 in Cell Phones & Accessories)', '>#67,156 in Cell Phones & Accessories > Cell Phone Accessories > Car Accessories > Car Chargers', '>#166,799 in Cell Phones & Accessories > Cell Phone Accessories > Chargers & Power Adapters', '>#272,532 in Electronics > Accessories & Supplies > Vehicle Electronics Accessories']",[],{},All Electronics,,"June 7, 2008",,7879880356
